NGDC_Ship,NGDC_Cruise,NGDC_Sample,NGDC_Serial,NGDC_Comment,Location,Location Type,Expedition,Location ID,Site,Hole,SiteHole,Original ID,Hole ID,Platform,Date,Water Depth (m),Country,State_Province,County_Region,PI,Lat,Long,Elevation,Position,Storage Location Working,Storage Location Archive,Sample Type,Comment,mblf T,mblf B,Metadata Source,Google Earth Comment Field,serial,,
ice,NUNV,NUNV-C3xx-1A,214,Country: Canada / State/Province: Nunavut / County/Region: Ellesmere Island,C3,lake,NUNV,C3,1,A,1A,1,NUNV-C3xx-1A,ice,,,Canada,Nunavut,Ellesmere Island,Ted Lewis,82.81016,-77.91426,32,exact (read from GPS),U.MA-Amherst,U.MA-Amherst,core,,,,PI,LacCoreID: NUNV-C3xx-1A / FieldID: 1 / Date:  / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,2849,,5337
ground,KYGS,KYGS-CA07-1A,215,Country: USA / State/Province: Kentucky / County/Region: McLean,Calhoun Quad,paleolake,KYGS,CA,1,A,1A,CA-01,KYGS-CA07-1A,ground,20070501,0,USA,Kentucky,McLean,Ron Counts,37.58123,-87.28456,116,exact (read from GPS),Kentucky Geological Survey,LacCore_Como,core,,0,23.9,PI,LacCoreID: KYGS-CA07-1A / FieldID: CA-01 / Date: 2007-05-01 / Water Depth: 0m / Sediment Depth: 0-23.9m / Position: exact (read from GPS) / Sample Type: core,2115,,4896
unknown,20,20-122xx-1A,216,Country: USA / State/Province: Wisconsin / County/Region: Bayfield,Camp Lake,lake,20,122,1,A,1A,,20-122xx-1A,unknown,,,USA,Wisconsin,Bayfield,Margaret Davis,46.2761,-91.3869,419,exact (read from GPS),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: 20-122xx-1A / FieldID:  / Date:  / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,51,,3818
ice,WISP,WISP-CAMP2G04-1A,217,Country: USA / State/Province: Wisconsin / County/Region: Bayfield,Camp Two Lake,lake,WISP,CAMP2G,1,A,1A,Camp 2G,WISP-CAMP2G04-1A,ice,20041231,,USA,Wisconsin,Bayfield,Randy Calcote,46.50213,-91.41097,346,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: WISP-CAMP2G04-1A / FieldID: Camp 2G / Date: 2004-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3742,,4761
unknown,3,3-CAM01-1A,218,Country: USA / State/Province: Minnesota / County/Region: Becker,Campbell Lake,lake,3,CAM,1,A,1A,CAM-01-2P-A,3-CAM01-1A,unknown,20010718,,USA,Minnesota,Becker,Amy Myrbo et al,46.9272,-95.8492,431,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,,,"Bell, old geotek",LacCoreID: 3-CAM01-1A / FieldID: CAM-01-2P-A / Date: 2001-07-18 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,9,,411
unknown,3,3-CAM01-1B,219,Country: USA / State/Province: Minnesota / County/Region: Becker,Campbell Lake,lake,3,CAM,1,B,1B,CAM-01-2P-B,3-CAM01-1B,unknown,20010719,,USA,Minnesota,Becker,Amy Myrbo et al,46.9272,-95.8492,431,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,0,4.13,"Bell, old geotek",LacCoreID: 3-CAM01-1B / FieldID: CAM-01-2P-B / Date: 2001-07-19 / Water Depth: m / Sediment Depth: 0-4.13m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,10,,412
unknown,43,43-196xx-1A,220,Country: USA / State/Province: Michigan / County/Region: Marquette,Canyon Lake,lake,43,196,1,A,1A,5732,43-196xx-1A,unknown,,21.9,USA,Michigan,Marquette,"Margaret Davis, Kerry Woods",46.833667,-87.92204,257,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,0,7.5,"Bell, Publication",LacCoreID: 43-196xx-1A / FieldID: 5732 / Date:  / Water Depth: 21.9m / Sediment Depth: 0-7.5m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,136,,3824
unknown,PEAT,PEAT-CSB81-55A,221,Country: Canada / State/Province: Nova Scotia / County/Region: ,Cape Sable Island,wetland,PEAT,CSB,55,A,55A,8155,PEAT-CSB81-55A,unknown,19811231,,Canada,Nova Scotia,,"Paul Glaser, Eville Gorham, Joannes Janssens",43.4662,-65.5868,0,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: PEAT-CSB81-55A / FieldID: 8155 / Date: 1981-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,2981,,4656
unknown,20,20-123xx-1A,222,Country: USA / State/Province: Wisconsin / County/Region: Lincoln,Capitola Lake,lake,20,123,1,A,1A,,20-123xx-1A,unknown,,,USA,Wisconsin,Lincoln,Margaret Davis,45.5195,-89.5548,463,exact (read from GPS),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: 20-123xx-1A / FieldID:  / Date:  / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,52,,3819
unknown,VASTC,VASTC-CRB09-1A,223,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Carb Lake ,lake,VASTC,CRB,1,A,1A,CRB09-1A-1N-01,VASTC-CRB09-1A,unknown,20090423,18.32,Canada,Nunavut,Baffin Island,"Gifford Miller, Chris Florian",64.33183333,-69.83758333,159,exact (read from GPS),UC Boulder,LacCore_MRPH,core,,0,1.185,PI,LacCoreID: VASTC-CRB09-1A / FieldID: CRB09-1A-1N-01 / Date: 2009-04-23 / Water Depth: 18.32m / Sediment Depth: 0-1.185m / Position: exact (read from GPS) / Sample Type: core,3663,,2440
ground,MAINE,MAINE-CBOU07-1A,224,Country: USA / State/Province: Maine / County/Region: Penobscot,Caribou Bog,wetland,MAINE,CBOU,1,A,1A,6-13-07-1,MAINE-CBOU07-1A,ground,20070613,0,USA,Maine,Penobscot,Paul Glaser,44.91433,-68.73224,38,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,7.12,PI,LacCoreID: MAINE-CBOU07-1A / FieldID: 6-13-07-1 / Date: 2007-06-13 / Water Depth: 0m / Sediment Depth: 0-7.12m / Position: exact (read from GPS) / Sample Type: core,2358,,4523
ground,MAINE,MAINE-CBOU07-2A,225,Country: USA / State/Province: Maine / County/Region: Penobscot,Caribou Bog,wetland,MAINE,CBOU,2,A,2A,6-14-07-1,MAINE-CBOU07-2A,ground,20070614,0,USA,Maine,Penobscot,Paul Glaser,44.91366,-68.72963,39,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,7.33,PI,LacCoreID: MAINE-CBOU07-2A / FieldID: 6-14-07-1 / Date: 2007-06-14 / Water Depth: 0m / Sediment Depth: 0-7.33m / Position: exact (read from GPS) / Sample Type: core,2359,,4524
unknown,PEAT,PEAT-CMV82-5A,226,Country: Canada / State/Province: Newfoundland / County/Region: ,Carmenville Bog ,wetland,PEAT,CMV,5,A,5A,8205,PEAT-CMV82-5A,unknown,19821231,,Canada,Newfoundland,,"Paul Glaser, Eville Gorham, Joannes Janssens",49.35,-53.51666667,2,approximate (location/coordinates identified on a map),LacCore_Bell,LacCore_Bell,core,,,,"Bell, Publication",LacCoreID: PEAT-CMV82-5A / FieldID: 8205 / Date: 1982-12-31 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,2980,,4652
unknown,SHANE,SHANE-14572-2A,227,Country: USA / State/Province: Ohio / County/Region: Summit,Carter Lake,lake,SHANE,145,2,A,2A,2,SHANE-14572-2A,unknown,19721006,0,USA,Ohio,Summit,Linda Shane,41.1233,-81.4267,336,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,0.61,8.03,,LacCoreID: SHANE-14572-2A / FieldID: 2 / Date: 1972-10-06 / Water Depth: 0m / Sediment Depth: 0.61-8.03m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,3226,,3672
unknown,HFNZ,HFNZ-CL08-1A,228,Country: New Zealand / State/Province: Canterbury / County/Region: ,Cass Lagoon,lake,HFNZ,CL,1,A,1A,Cass Lagoon X08/23,HFNZ-CL08-1A,unknown,20080228,5.2,New Zealand,Canterbury,,"Dave McWethy, Cathy Whitlock",-43.05032,171.59574,1184,exact (read from GPS),Montana State University,Montana State University,core,,0.7,1.74,PI,LacCoreID: HFNZ-CL08-1A / FieldID: Cass Lagoon X08/23 / Date: 2008-02-28 / Water Depth: 5.2m / Sediment Depth: 0.7-1.74m / Position: exact (read from GPS) / Sample Type: core,1735,,1995
unknown,35,35-CASS01-1A,229,Country: USA / State/Province: Minnesota / County/Region: Beltrami,Cass Lake,lake,35,CASS,1,A,1A,,35-CASS01-1A,unknown,20011231,34,USA,Minnesota,Beltrami,"Howard Mooers, Phil Larson",47.45291,-94.52908,397,general (location within lake/site unknown or not digitized),,,core,,0,3.51,Publication,LacCoreID: 35-CASS01-1A / FieldID:  / Date: 2001-12-31 / Water Depth: 34m / Sediment Depth: 0-3.51m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,87,,2606
unknown,NOCA,NOCA-CAS03-2A,230,Country: USA / State/Province: Washington / County/Region: Okanogan,Castor Lake,lake,NOCA,CAS,2,A,2A,Castor B03,NOCA-CAS03-2A,unknown,20031231,,USA,Washington,Okanogan,Mark Abbott,48.5392,-119.5603,596,general (location within lake/site unknown or not digitized),U.Pittsburgh,U.Pittsburgh,core,,,,,LacCoreID: NOCA-CAS03-2A / FieldID: Castor B03 / Date: 2003-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,2827,,3862
ground,KYGS,KYGS-CATE06-1A,231,Country: USA / State/Province: Kentucky / County/Region: Henderson,Cates Lake,paleolake,KYGS,CATE,1,A,1A,Cates,KYGS-CATE06-1A,ground,20060501,0,USA,Kentucky,Henderson,Ron Counts,37.78839,-87.5894,113,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,2.74,27.7,PI,LacCoreID: KYGS-CATE06-1A / FieldID: Cates / Date: 2006-05-01 / Water Depth: 0m / Sediment Depth: 2.74-27.7m / Position: exact (read from GPS) / Sample Type: core,2116,,4897
unknown,ED06,ED06-CEDR06-1A,232,Country: USA / State/Province: Minnesota / County/Region: Stearns,Cedar Island Lake,lake,ED06,CEDR,1,A,1A,,ED06-CEDR06-1A,unknown,20061231,,USA,Minnesota,Stearns,"Mark Edlund, Joy Ramstack",45.4229,-94.5042,330,general (location within lake/site unknown or not digitized),SCWRS,SCWRS,core,,,,,LacCoreID: ED06-CEDR06-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,1120,,4067
unknown,IOWA2,IOWA2-CNT08-1A,233,Country: USA / State/Province: Iowa / County/Region: Dickinson,Center Lake,lake,IOWA2,CNT,1,A,1A,,IOWA2-CNT08-1A,unknown,20080622,4.67,USA,Iowa,Dickinson,Adam Heathcote,43.41082795,-95.13689363,432,exact (read from GPS),Iowa State University,Iowa State University,core,,0.13,1.56,PI,LacCoreID: IOWA2-CNT08-1A / FieldID:  / Date: 2008-06-22 / Water Depth: 4.67m / Sediment Depth: 0.13-1.56m / Position: exact (read from GPS) / Sample Type: core,1958,,165
unknown,VASTB,VASTB-CF1108-1A,234,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,CF-11,lake,VASTB,CF11,1,A,1A,,VASTB-CF1108-1A,unknown,20080510,5.9,Canada,Nunavut,Baffin Island,"Ben Schupack, Giff Miller",70.4770541,-68.6690373,81,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.675,PI,LacCoreID: VASTB-CF1108-1A / FieldID:  / Date: 2008-05-10 / Water Depth: 5.9m / Sediment Depth: 0-0.675m / Position: exact (read from GPS) / Sample Type: core,3654,,1028
unknown,VASTB,VASTB-CF1308-1B,235,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,CF-13,lake,VASTB,CF13,1,B,1B,,VASTB-CF1308-1B,unknown,20080510,5.45,Canada,Nunavut,Baffin Island,"Ben Schupack, Giff Miller",70.54765219,-69.25078173,270,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.525,PI,LacCoreID: VASTB-CF1308-1B / FieldID:  / Date: 2008-05-10 / Water Depth: 5.45m / Sediment Depth: 0-0.525m / Position: exact (read from GPS) / Sample Type: core,3655,,1029
unknown,VASTB,VASTB-CF308-1A,236,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,CF-3,lake,VASTB,CF3,1,A,1A,,VASTB-CF308-1A,unknown,20080510,6.96,Canada,Nunavut,Baffin Island,"Ben Schupack, Giff Miller",70.53251667,-68.36745,17,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,1.46,PI,LacCoreID: VASTB-CF308-1A / FieldID:  / Date: 2008-05-10 / Water Depth: 6.96m / Sediment Depth: 0-1.46m / Position: exact (read from GPS) / Sample Type: core,3656,,1030
unknown,VASTB,VASTB-CF608-1C,237,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,CF-6,lake,VASTB,CF6,1,C,1C,,VASTB-CF608-1C,unknown,20080510,9.06,Canada,Nunavut,Baffin Island,"Ben Schupack, Giff Miller",70.69130089,-69.09589722,28,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.645,PI,LacCoreID: VASTB-CF608-1C / FieldID:  / Date: 2008-05-10 / Water Depth: 9.06m / Sediment Depth: 0-0.645m / Position: exact (read from GPS) / Sample Type: core,3657,,1031
unknown,VASTB,VASTB-CF808-1B,238,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,CF-8,lake,VASTB,CF8,1,B,1B,,VASTB-CF808-1B,unknown,20080510,8.68,Canada,Nunavut,Baffin Island,"Ben Schupack, Giff Miller",70.55579843,-68.9510671,303,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.735,PI,LacCoreID: VASTB-CF808-1B / FieldID:  / Date: 2008-05-10 / Water Depth: 8.68m / Sediment Depth: 0-0.735m / Position: exact (read from GPS) / Sample Type: core,3658,,1032
ground,CHALCO,CHALCO-CHA08-2A,239,Country: Mexico / State/Province: Tulyehualco / County/Region: Distrito Federal,Lake Chalco,paleolake,CHALCO,CHA,2,A,2A,CHA08-II,CHALCO-CHA08-2A,ground,20080328,0,Mexico,Tulyehualco,Distrito Federal,"Socorro Loranzo, Beatriz Ortega, Magarita Caballero",19.25377778,-98.97741667,2233,exact (read from GPS),UNAM,LacCore_MRPH,core,,0,26.74,PI,LacCoreID: CHALCO-CHA08-2A / FieldID: CHA08-II / Date: 2008-03-28 / Water Depth: 0m / Sediment Depth: 0-26.74m / Position: exact (read from GPS) / Sample Type: core,717,,
ground,CHALCO,CHALCO-CHA08-3A,240,Country: Mexico / State/Province: Tulyehualco / County/Region: Distrito Federal,Lake Chalco,paleolake,CHALCO,CHA,3,A,3A,CHA08-III,CHALCO-CHA08-3A,ground,20080828,0,Mexico,Tulyehualco,Distrito Federal,"Socorro Loranzo, Beatriz Ortega, Magarita Caballero",19.25361111,-98.9775,2236,exact (read from GPS),UNAM,LacCore_MRPH,core,,0,90.1,PI,LacCoreID: CHALCO-CHA08-3A / FieldID: CHA08-III / Date: 2008-08-28 / Water Depth: 0m / Sediment Depth: 0-90.1m / Position: exact (read from GPS) / Sample Type: core,718,,1016
ground,CHALCO,CHALCO-CHA08-4A,241,Country: Mexico / State/Province: Tulyehualco / County/Region: Distrito Federal,Lake Chalco,paleolake,CHALCO,CHA,4,A,4A,CHA08-IV,CHALCO-CHA08-4A,ground,20080828,0,Mexico,Tulyehualco,Distrito Federal,"Socorro Loranzo, Beatriz Ortega, Magarita Caballero",19.25361111,-98.9775,2236,exact (read from GPS),UNAM,LacCore_MRPH,core,,85.3,122.5,PI,LacCoreID: CHALCO-CHA08-4A / FieldID: CHA08-IV / Date: 2008-08-28 / Water Depth: 0m / Sediment Depth: 85.3-122.5m / Position: exact (read from GPS) / Sample Type: core,719,,1017
ground,CHALCO,CHALCO-CHA08-5A,242,Country: Mexico / State/Province: Tulyehualco / County/Region: Distrito Federal,Lake Chalco,paleolake,CHALCO,CHA,5,A,5A,CHA08-V,CHALCO-CHA08-5A,ground,20080828,0,Mexico,Tulyehualco,Distrito Federal,"Socorro Loranzo, Beatriz Ortega, Magarita Caballero",19.25361111,-98.9775,2236,exact (read from GPS),UNAM,LacCore_MRPH,core,,29,71.9,PI,LacCoreID: CHALCO-CHA08-5A / FieldID: CHA08-V / Date: 2008-08-28 / Water Depth: 0m / Sediment Depth: 29-71.9m / Position: exact (read from GPS) / Sample Type: core,720,,1018
ground,CHALCO,CHALCO-CHA08-6A,243,Country: Mexico / State/Province: Tulyehualco / County/Region: Distrito Federal,Lake Chalco,paleolake,CHALCO,CHA,6,A,6A,CHA08-VI,CHALCO-CHA08-6A,ground,20080828,0,Mexico,Tulyehualco,Distrito Federal,"Socorro Loranzo, Beatriz Ortega, Magarita Caballero",19.25361111,-98.9775,2236,exact (read from GPS),UNAM,LacCore_MRPH,core,,70.8,122.5,PI,LacCoreID: CHALCO-CHA08-6A / FieldID: CHA08-VI / Date: 2008-08-28 / Water Depth: 0m / Sediment Depth: 70.8-122.5m / Position: exact (read from GPS) / Sample Type: core,721,,1019
ice,ABBA,ABBA-CH00-1A,244,Country: USA / State/Province: New York / County/Region: Essex,Chapel Pond,lake,ABBA,CH,1,A,1A,,ABBA-CH00-1A,ice,20001231,,USA,New York,Essex,"Anders Noren, Paul Bierman, Andrea Lini",44.13924,-73.74644,486,exact (read from GPS),UVM,UVM,core,,,,PI,LacCoreID: ABBA-CH00-1A / FieldID:  / Date: 2000-12-31 / Water Depth: m / Sediment Depth: -m / Position: exact (read from GPS) / Sample Type: core,207,,460
ice,WISP,WISP-CHAS04-1A,245,Country: USA / State/Province: Wisconsin / County/Region: Burnett,Chase Lake,lake,WISP,CHAS,1,A,1A,Chase,WISP-CHAS04-1A,ice,20041231,,USA,Wisconsin,Burnett,Randy Calcote,45.9267,-92.468,288,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: WISP-CHAS04-1A / FieldID: Chase / Date: 2004-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3743,,4762
ice,WISP,WISP-CHEN04-1A,246,Country: USA / State/Province: Wisconsin / County/Region: Douglas,Cheney Lake,lake,WISP,CHEN,1,A,1A,Cheney,WISP-CHEN04-1A,ice,20041231,,USA,Wisconsin,Douglas,Randy Calcote,46.382,-91.701,339,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,,PI,LacCoreID: WISP-CHEN04-1A / FieldID: Cheney / Date: 2004-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,3744,,4763
ice,ALCOVE,ALCOVE-CHE08-1A,247,Country: USA / State/Province: Wisconsin / County/Region: Barron,Chetek Lake,lake,ALCOVE,CHE,1,A,1A,,ALCOVE-CHE08-1A,ice,20080219,6,USA,Wisconsin,Barron,Kate Pound,45.3159,-91.63641666,316,exact (read from GPS),consumed,consumed,core,,0,,PI,LacCoreID: ALCOVE-CHE08-1A / FieldID:  / Date: 2008-02-19 / Water Depth: 6m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: core,283,,3297
unknown,ESP2,ESP2-CHI07-1A,248,Country: Spain / State/Province: Aragón / County/Region: ,Chiprana,lake,ESP2,CHI,1,A,1A,,ESP2-CHI07-1A,unknown,20071231,3.8,Spain,Aragón,,Blas Valero-Garces,41.24032278,-0.182007397,137,exact (read from GPS),LacCore_CivE,LacCore_CivE,core,,0,0.42,PI,LacCoreID: ESP2-CHI07-1A / FieldID:  / Date: 2007-12-31 / Water Depth: 3.8m / Sediment Depth: 0-0.42m / Position: exact (read from GPS) / Sample Type: core,1208,,1102
unknown,BAF,BAF-CHS05-2A,249,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Chisel Lake,lake,BAF,CHS,2,A,2A,05CHS-02,BAF-CHS05-2A,unknown,20051231,10,Canada,Nunavut,Baffin Island,Rebecca Anderson,71.55034,-78.03273,862,general (location within lake/site unknown or not digitized),University of Colorado Boulder,University of Colorado Boulder,core,,0,0.315,PI,LacCoreID: BAF-CHS05-2A / FieldID: 05CHS-02 / Date: 2005-12-31 / Water Depth: 10m / Sediment Depth: 0-0.315m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,397,,4843
unknown,BAF,BAF-CHS05-3A,250,Country: Canada / State/Province: Nunavut / County/Region: Baffin Island,Chisel Lake,lake,BAF,CHS,3,A,3A,05CHS-03,BAF-CHS05-3A,unknown,20051231,10.16,Canada,Nunavut,Baffin Island,Rebecca Anderson,71.55034,-78.03273,862,general (location within lake/site unknown or not digitized),University of Colorado Boulder,University of Colorado Boulder,core,,0,0.235,PI,LacCoreID: BAF-CHS05-3A / FieldID: 05CHS-03 / Date: 2005-12-31 / Water Depth: 10.16m / Sediment Depth: 0-0.235m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,398,,4844
unknown,26,26-128xx-1A,251,Country: Equador / State/Province: Azuay / County/Region: ,Chorreras Valley,lake,26,128,1,A,1A,A,26-128xx-1A,unknown,,,Equador,Azuay,,Geoff Seltzer,-2.76667,-79.16667,3771,general (location within lake/site unknown or not digitized),LacCore_Bell,LacCore_Bell,core,,,,,LacCoreID: 26-128xx-1A / FieldID: A / Date:  / Water Depth: m / Sediment Depth: -m / Position: general (location within lake/site unknown or not digitized) / Sample Type: core,66,,2391
unknown,COOL,COOL-1206-1A,252,Country: USA / State/Province: Oregon / County/Region: Clackamas,Clackamas Lake,lake,COOL,12,1,A,1A,,COOL-1206-1A,unknown,20061231,,USA,Oregon,Clackamas,Anna Henderson,45.09609,-121.74346,1018,exact (read from GPS),LacCore_CivE,LacCore_CivE,grab,,0,,PI,LacCoreID: COOL-1206-1A / FieldID:  / Date: 2006-12-31 / Water Depth: m / Sediment Depth: 0-m / Position: exact (read from GPS) / Sample Type: grab,835,,780
unknown,WRFP,WRFP-CLAR08-1A,253,Country: USA / State/Province: Arkansas / County/Region: Monroe,Clarendon Lake,lake,WRFP,CLAR,1,A,1A,,WRFP-CLAR08-1A,unknown,20080801,3.6,USA,Arkansas,Monroe,"Ruchi Bhattacharya, Sonja Hausman",34.68243333,-91.33005,46,exact (read from GPS),University of Arkansas,LacCore_MRPH,core,,0,0.84,PI,LacCoreID: WRFP-CLAR08-1A / FieldID:  / Date: 2008-08-01 / Water Depth: 3.6m / Sediment Depth: 0-0.84m / Position: exact (read from GPS) / Sample Type: core,3805,,4915
ice,SPA,SPA-CLAU09-10A,254,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,10,A,10A,,SPA-CLAU09-10A,ice,20090413,,USA,Alaska,Nome,Katey Walter,66.551611,-164.450381,24,approximate (location/coordinates identified on a map),University of Alaska Fairbanks,LacCore_MRPH,core,,,,PI,LacCoreID: SPA-CLAU09-10A / FieldID:  / Date: 2009-04-13 / Water Depth: m / Sediment Depth: -m / Position: approximate (location/coordinates identified on a map) / Sample Type: core,3356,,3310
ice,SPA,SPA-CLAU09-1A,255,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,1,A,1A,,SPA-CLAU09-1A,ice,20090407,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,0,2.55,PI,LacCoreID: SPA-CLAU09-1A / FieldID:  / Date: 2009-04-07 / Water Depth: 7.66m / Sediment Depth: 0-2.55m / Position: exact (read from GPS) / Sample Type: core,3357,,3311
ice,SPA,SPA-CLAU09-1B,256,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,1,B,1B,,SPA-CLAU09-1B,ice,20090406,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,0.753,PI,LacCoreID: SPA-CLAU09-1B / FieldID:  / Date: 2009-04-06 / Water Depth: 7.66m / Sediment Depth: 0-0.753m / Position: exact (read from GPS) / Sample Type: core,3358,,3312
ice,SPA,SPA-CLAU09-1C,257,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,1,C,1C,,SPA-CLAU09-1C,ice,20090406,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.52,PI,LacCoreID: SPA-CLAU09-1C / FieldID:  / Date: 2009-04-06 / Water Depth: 7.66m / Sediment Depth: 0-1.52m / Position: exact (read from GPS) / Sample Type: core,3359,,3313
ice,SPA,SPA-CLAU09-1D,258,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,1,D,1D,,SPA-CLAU09-1D,ice,20090408,7.66,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0.77,4.38,PI,LacCoreID: SPA-CLAU09-1D / FieldID:  / Date: 2009-04-08 / Water Depth: 7.66m / Sediment Depth: 0.77-4.38m / Position: exact (read from GPS) / Sample Type: core,3360,,3314
ice,SPA,SPA-CLAU09-1E,259,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,1,E,1E,,SPA-CLAU09-1E,ice,20090413,7.9,USA,Alaska,Nome,Katey Walter,66.550151,-164.452345,24,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.12,PI,LacCoreID: SPA-CLAU09-1E / FieldID:  / Date: 2009-04-13 / Water Depth: 7.9m / Sediment Depth: 0-1.12m / Position: exact (read from GPS) / Sample Type: core,3361,,3315
ice,SPA,SPA-CLAU09-2A,260,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,2,A,2A,,SPA-CLAU09-2A,ice,20090407,3.66,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,0,1.37,PI,LacCoreID: SPA-CLAU09-2A / FieldID:  / Date: 2009-04-07 / Water Depth: 3.66m / Sediment Depth: 0-1.37m / Position: exact (read from GPS) / Sample Type: core,3362,,3316
ice,SPA,SPA-CLAU09-2B,261,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,2,B,2B,,SPA-CLAU09-2B,ice,20090413,4.9,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),LacCore_MRPH,LacCore_MRPH,core,,1,1.6,PI,LacCoreID: SPA-CLAU09-2B / FieldID:  / Date: 2009-04-13 / Water Depth: 4.9m / Sediment Depth: 1-1.6m / Position: exact (read from GPS) / Sample Type: core,3363,,3317
ice,SPA,SPA-CLAU09-2C,262,Country: USA / State/Province: Alaska / County/Region: Nome,Claudi,lake,SPA,CLAU,2,C,2C,,SPA-CLAU09-2C,ice,20090413,3.7,USA,Alaska,Nome,Katey Walter,66.552004,-164.452149,26,exact (read from GPS),University of Alaska Fairbanks,LacCore_MRPH,core,,1,1.25,PI,LacCoreID: SPA-CLAU09-2C / FieldID:  / Date: 2009-04-13 / Water Depth: 3.7m / Sediment Depth: 1-1.25m / Position: exact (read from GPS) / Sample Type: core,3364,,3318
